# Directed graph: Florida-bay.txt
# Florida bay food web: nodes are compartments (organisms and species) and edges are energy flow
# (edge from i to j means that carbon is transferred from i to j)
# Nodes: 128 Edges: 2106
# Downloaded from: https://snap.stanford.edu/data/Florida-bay.html
# FromNodeId ToNodeId
DOC,Free Bacteria
Epiphytes,Green Turtle
Sponges,Hawksbill Turtle
Other Cnidaridae,Hawksbill Turtle
Echinoderma,Hawksbill Turtle
Bivalves,Hawksbill Turtle
Detritivorous Gastropods,Hawksbill Turtle
Detritivorous Polychaetes,Hawksbill Turtle
Predatory Polychaetes,Hawksbill Turtle
Suspension Feeding Polych,Hawksbill Turtle
Herbivorous Shrimp,Hawksbill Turtle
Predatory Shrimp,Hawksbill Turtle
Pink Shrimp,Hawksbill Turtle
Lobster,Hawksbill Turtle
Detritivorous Crabs,Hawksbill Turtle
Omnivorous Crabs,Hawksbill Turtle
Callinectus sapidus,Hawksbill Turtle
Bivalves,Dolphin
Herbivorous Shrimp,Dolphin
Predatory Shrimp,Dolphin
Pink Shrimp,Dolphin
Sardines,Dolphin
Bay Anchovy,Dolphin
Catfish,Dolphin
Eels,Dolphin
Toadfish,Dolphin
Needlefish,Dolphin
Goldspotted killifish,Dolphin
Rainwater killifish,Dolphin
Snook,Dolphin
Silverside,Dolphin
Other Horsefish,Dolphin
Gulf Pipefish,Dolphin
Jacks,Dolphin
Other Snapper,Dolphin
Mojarra,Dolphin
Grunt,Dolphin
Pinfish,Dolphin
Scianids,Dolphin
Spotted Seatrout,Dolphin
Spadefish,Dolphin
Parrotfish,Dolphin
Mullet,Dolphin
Barracuda,Dolphin
Blennies,Dolphin
Code Goby,Dolphin
Flatfish,Dolphin
Filefishes,Dolphin
Puffer,Dolphin
Other Pelagic Fishes,Dolphin
Other Demersal Fishes,Dolphin
Thalassia,Manatee
Halodule,Manatee
Syringodium,Manatee
Epiphytes,Manatee
Sponges,Manatee
Echinoderma,Manatee
Bivalves,Manatee
Detritivorous Gastropods,Manatee
Detritivorous Polychaetes,Manatee
Predatory Polychaetes,Manatee
Suspension Feeding Polych,Manatee
Macrobenthos,Manatee
Detritivorous Amphipods,Manatee
Herbivorous Amphipods,Manatee
Isopods,Manatee
Herbivorous Shrimp,Manatee
Predatory Shrimp,Manatee
Pink Shrimp,Manatee
Omnivorous Crabs,Manatee
Thalassia,Water POC
Halodule,Water POC
Syringodium,Water POC
Drift Algae,Water POC
Epiphytes,Water POC
Free Bacteria,Water POC
Water Flagellates,Water POC
Water Cilitaes,Water POC
Acartia Tonsa,Water POC
Oithona nana,Water POC
Paracalanus,Water POC
Other Copepoda,Water POC
Meroplankton,Water POC
Other Zooplankton,Water POC
Sponges,Water POC
Herbivorous Shrimp,Water POC
Thor Floridanus,Water POC
Sharks,Water POC
Rays,Water POC
Tarpon,Water POC
Bonefish,Water POC
Sardines,Water POC
Anchovy,Water POC
Bay Anchovy,Water POC
Lizardfish,Water POC
Catfish,Water POC
Halfbeaks,Water POC
Needlefish,Water POC
Other Killifish,Water POC
Goldspotted killifish,Water POC
Rainwater killifish,Water POC
Snook,Water POC
Sailfin Molly,Water POC
Silverside,Water POC
Other Horsefish,Water POC
Gulf Pipefish,Water POC
Dwarf Seahorse,Water POC
Grouper,Water POC
Jacks,Water POC
Pompano,Water POC
Other Snapper,Water POC
Gray Snapper,Water POC
Mojarra,Water POC
Grunt,Water POC
Porgy,Water POC
Pinfish,Water POC
Scianids,Water POC
Spotted Seatrout,Water POC
Red Drum,Water POC
Spadefish,Water POC
Parrotfish,Water POC
Mackerel,Water POC
Mullet,Water POC
Barracuda,Water POC
Blennies,Water POC
Code Goby,Water POC
Clown Goby,Water POC
Flatfish,Water POC
Filefishes,Water POC
Puffer,Water POC
Other Pelagic Fishes,Water POC
Other Demersal Fishes,Water POC
Loon,Water POC
Greeb,Water POC
Pelican,Water POC
Comorant,Water POC
Big Herons & Egrets,Water POC
Small Herons & Egrets,Water POC
Ibis,Water POC
Roseate Spoonbill,Water POC
Herbivorous Ducks,Water POC
Omnivorous Ducks,Water POC
Predatory Ducks,Water POC
Raptors,Water POC
Gruiformes,Water POC
Small Shorebirds,Water POC
Gulls & Terns,Water POC
Kingfisher,Water POC
Crocodiles,Water POC
Loggerhead Turtle,Water POC
Green Turtle,Water POC
Hawksbill Turtle,Water POC
Dolphin,Water POC
Manatee,Water POC
Benthic Phytoplankton,Benthic POC
Thalassia,Benthic POC
Halodule,Benthic POC
Syringodium,Benthic POC
Roots,Benthic POC
Drift Algae,Benthic POC
Epiphytes,Benthic POC
Benthic Flagellates,Benthic POC
Benthic Ciliates,Benthic POC
Meiofauna,Benthic POC
Coral,Benthic POC
Other Cnidaridae,Benthic POC
Echinoderma,Benthic POC
Bivalves,Benthic POC
Detritivorous Gastropods,Benthic POC
Epiphytic Gastropods,Benthic POC
Predatory Gastropods,Benthic POC
Detritivorous Polychaetes,Benthic POC
Predatory Polychaetes,Benthic POC
Suspension Feeding Polych,Benthic POC
Macrobenthos,Benthic POC
Benthic Crustaceans,Benthic POC
Detritivorous Amphipods,Benthic POC
Herbivorous Amphipods,Benthic POC
Isopods,Benthic POC
Predatory Shrimp,Benthic POC
Pink Shrimp,Benthic POC
Lobster,Benthic POC
Detritivorous Crabs,Benthic POC
Omnivorous Crabs,Benthic POC
Predatory Crabs,Benthic POC
Callinectus sapidus,Benthic POC
Stone Crab,Benthic POC
Rays,Benthic POC
Eels,Benthic POC
Toadfish,Benthic POC
Brotalus,Benthic POC
Mojarra,Benthic POC
Mullet,Benthic POC
Code Goby,Benthic POC
Clown Goby,Benthic POC
Flatfish,Benthic POC
Other Demersal Fishes,Benthic POC
Water POC,Benthic POC
2um Spherical Phytoplankt,DOC
Synedococcus,DOC
Oscillatoria,DOC
Small Diatoms (<20um),DOC
Big Diatoms (>20um),DOC
Dinoflagellates,DOC
Other Phytoplankton,DOC
Thalassia,DOC
Halodule,DOC
Syringodium,DOC
Drift Algae,DOC
Epiphytes,DOC
